step,probe_name,accuracy
50,adjective,0.0
50,arbitrary_past_tense,0.0
50,arbitrary_plural,0.1
50,arbitrary_possessive,0.0
50,arbitrary_progressive,0.0
50,arbitrary_third_person,0.0
50,infinitive,0.0
50,long_distance_agreement,0.8
50,plural_agreement,0.0
50,verb_base_form,0.0
100,adjective,0.0
100,arbitrary_past_tense,0.0
100,arbitrary_plural,0.0
100,arbitrary_possessive,0.0
100,arbitrary_progressive,0.0
100,arbitrary_third_person,0.0
100,infinitive,0.0
100,long_distance_agreement,0.0
100,plural_agreement,0.0
100,verb_base_form,0.0
150,adjective,0.0
150,arbitrary_past_tense,0.0
150,arbitrary_plural,0.0
150,arbitrary_possessive,0.0
150,arbitrary_progressive,0.0
150,arbitrary_third_person,0.0
150,infinitive,0.0
150,long_distance_agreement,0.0
150,plural_agreement,0.0
150,verb_base_form,0.0
200,adjective,0.0
200,arbitrary_past_tense,0.0
200,arbitrary_plural,0.0
200,arbitrary_possessive,0.0
200,arbitrary_progressive,0.0
200,arbitrary_third_person,0.0
200,infinitive,0.0
200,long_distance_agreement,0.0
200,plural_agreement,0.0
200,verb_base_form,0.0
250,adjective,0.0
250,arbitrary_past_tense,0.0
250,arbitrary_plural,0.0
250,arbitrary_possessive,0.0
250,arbitrary_progressive,0.0
250,arbitrary_third_person,0.0
250,infinitive,0.0
250,long_distance_agreement,0.0
250,plural_agreement,0.0
250,verb_base_form,0.0
300,adjective,0.05
300,arbitrary_past_tense,0.0
300,arbitrary_plural,0.0
300,arbitrary_possessive,0.0
300,arbitrary_progressive,0.0
300,arbitrary_third_person,0.0
300,infinitive,0.0
300,long_distance_agreement,0.0
300,plural_agreement,0.0
300,verb_base_form,0.0
350,adjective,0.15
350,arbitrary_past_tense,0.0
350,arbitrary_plural,0.0
350,arbitrary_possessive,0.0
350,arbitrary_progressive,0.0
350,arbitrary_third_person,0.0
350,infinitive,0.0
350,long_distance_agreement,0.0
350,plural_agreement,0.0
350,verb_base_form,0.0
400,adjective,0.25
400,arbitrary_past_tense,0.0
400,arbitrary_plural,0.0
400,arbitrary_possessive,0.0
400,arbitrary_progressive,0.0
400,arbitrary_third_person,0.0
400,infinitive,0.0
400,long_distance_agreement,0.0
400,plural_agreement,0.0
400,verb_base_form,0.0
450,adjective,0.35
450,arbitrary_past_tense,0.0
450,arbitrary_plural,0.0
450,arbitrary_possessive,0.1
450,arbitrary_progressive,0.05
450,arbitrary_third_person,0.0
450,infinitive,0.0
450,long_distance_agreement,0.0
450,plural_agreement,0.0
450,verb_base_form,0.05
500,adjective,0.7
500,arbitrary_past_tense,0.0
500,arbitrary_plural,0.15
500,arbitrary_possessive,0.4
500,arbitrary_progressive,0.55
500,arbitrary_third_person,0.0
